pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,error_mm
0,0,0.2,0.0,0.22,0.2003890954898099,-8.56266202600778e-05,0.2206254760200596,0.7415844321162423
0,1,0.2,0.0,0.22,0.1999053303751257,-0.00037892135632915195,0.21930884480777194,0.7938760809471345
0,2,0.2,0.0,0.22,0.19957695658988212,0.0007124205317102913,0.21962634732109465,0.9089142232904587
0,3,0.2,0.0,0.22,0.19936487410205117,0.00016048611551515673,0.21973969303334256,0.7049116373055995
0,4,0.2,0.0,0.22,0.1995723492991075,0.0006148484083222199,0.2196034840967322,0.8474364570482613
0,5,0.2,0.0,0.22,0.20046116354851296,0.0002915905231517388,0.22023923559898603,0.5957604581466954
0,6,0.2,0.0,0.22,0.1998898773629532,-0.00033421372984863707,0.21958012693291576,0.5478313653600096
0,7,0.2,0.0,0.22,0.199435740444785,0.0010629327235991946,0.22011737925144334,1.2091289051291667
0,8,0.2,0.0,0.22,0.20001007868745985,-0.000762992085147889,0.21988707071663022,0.7713699015269194
0,9,0.2,0.0,0.22,0.20009196366800813,-0.000686070734384846,0.220451820908215,0.8266150869135481
1,0,0.25,0.05,0.2,0.25072770664069444,0.04942254139968516,0.2001835188752759,0.9469395796833557
1,1,0.25,0.05,0.2,0.25039291332716584,0.05062879870913104,0.20034381412389965,0.8172985079285722
1,2,0.25,0.05,0.2,0.25062779829098336,0.04971353761891127,0.19995603213677066,0.691465518256413
1,3,0.25,0.05,0.2,0.24965022826031302,0.050729655097605866,0.20038513964229385,0.8961413813746693
1,4,0.25,0.05,0.2,0.25049494819819546,0.05034470618000456,0.19944504748805314,0.8196147631335138
1,5,0.25,0.05,0.2,0.24942576978154526,0.05030721147233249,0.20057658352407143,0.869809055339091
1,6,0.25,0.05,0.2,0.2507462122904172,0.049510783813105655,0.1993872542717522,1.0824151640544872
1,7,0.25,0.05,0.2,0.2504823070480603,0.05037750287913455,0.20004925937785653,0.6144550420253022
1,8,0.25,0.05,0.2,0.2500143723953803,0.050252759875937136,0.19981108427990213,0.31588489981767853
1,9,0.25,0.05,0.2,0.25045463902955784,0.05079881682511522,0.19990165942434912,0.9243786216176781
2,0,0.18,-0.05,0.25,0.17986464151207487,-0.04908060874977741,0.2508405316497685,1.2530345747431637
2,1,0.18,-0.05,0.25,0.17922573369682224,-0.050465674580264616,0.25057718984267563,1.0721423587514352
2,2,0.18,-0.05,0.25,0.1806184583314801,-0.049601146546219096,0.2499993978350195,0.7359178948583751
2,3,0.18,-0.05,0.25,0.18050577552625155,-0.050344924383400234,0.24996405611380862,0.6132484620230266
2,4,0.18,-0.05,0.25,0.17973428842670344,-0.05086456272588735,0.2507401961279929,1.1687436224738101
2,5,0.18,-0.05,0.25,0.18076623060336622,-0.05053718280923007,0.2500230774891681,0.9360594417950071
2,6,0.18,-0.05,0.25,0.17944686094453285,-0.050799609455576544,0.24997045146220534,0.9727338856112159
2,7,0.18,-0.05,0.25,0.18046324539537467,-0.04940734610137781,0.24973230729060117,0.7984324182754715
2,8,0.18,-0.05,0.25,0.179275621747155,-0.050622384826702505,0.2499975079373991,0.9550355679660701
2,9,0.18,-0.05,0.25,0.17975087455377625,-0.0492896424634012,0.25056902899053163,0.94364469469411
3,0,0.22,0.08,0.18,0.2206191996755761,0.07968955543047532,0.18030069827396675,0.7551182165379877
3,1,0.22,0.08,0.18,0.22034593961377064,0.08021383691663639,0.18016252378937922,0.43796623774729065
3,2,0.22,0.08,0.18,0.22040064694096798,0.08000733096108462,0.18073510752470018,0.8372304265662188
3,3,0.22,0.08,0.18,0.21956643960666758,0.07915539827006082,0.1804721322225979,1.0602997371017544
3,4,0.22,0.08,0.18,0.21985345231783393,0.08023142370059946,0.18061447052087465,0.6727608589769225
3,5,0.22,0.08,0.18,0.22038273120686566,0.08041673627100795,0.1794418562508624,0.7947809389912615
3,6,0.22,0.08,0.18,0.22060735000828494,0.08071718636852267,0.18014858628468705,0.9514768540303764
3,7,0.22,0.08,0.18,0.22039280693194482,0.08049812822595664,0.17978788843821494,0.6688948571498435
3,8,0.22,0.08,0.18,0.21931310006288243,0.07977621104099777,0.18080156732360492,1.0790844248966718
3,9,0.22,0.08,0.18,0.21997772389119014,0.07941618004790656,0.18005766015072738,0.5870831750851039
4,0,0.15,-0.02,0.3,0.15096957782730935,-0.02035181729815696,0.2993539238423876,1.2170747618480775
4,1,0.15,-0.02,0.3,0.1496379343157696,-0.02083314630789876,0.29999283486995537,0.908446844427955
4,2,0.15,-0.02,0.3,0.1503918582879093,-0.020904525219482214,0.2992268557069025,1.2527852523205165
4,3,0.15,-0.02,0.3,0.14999966767324355,-0.02031376356269854,0.3001876186779891,0.365579611095496
4,4,0.15,-0.02,0.3,0.15046789634695995,-0.020969370913156146,0.3004930027699283,1.1839166735579978
4,5,0.15,-0.02,0.3,0.1496093206705999,-0.019579707278942808,0.29969716763073795,0.6488326083567533
4,6,0.15,-0.02,0.3,0.15005039704099646,-0.020222226811632306,0.29968341446422764,0.3900654035027025
4,7,0.15,-0.02,0.3,0.15042824111646116,-0.019980416784597315,0.300207946219588,0.4764615266675474
4,8,0.15,-0.02,0.3,0.14931979498417655,-0.01908874706211031,0.29937906494956235,1.29561611491443
4,9,0.15,-0.02,0.3,0.15008698509518106,-0.019240329551516708,0.3001860486748771,0.7869432676540214
