pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,pos_error_mm
0,0,0.2,0.0,0.22,0.20279684625428113,-0.026529558914812117,0.2182105095086549,26.736531588880187
0,1,0.2,0.0,0.22,0.20279684627254652,-0.026529558917351197,0.21821050942975678,26.736531598591
0,2,0.2,0.0,0.22,0.20279684629081202,-0.02652955891989029,0.21821050935085845,26.736531608301856
0,3,0.2,0.0,0.22,0.2027968463090773,-0.026529558922429364,0.21821050927196023,26.736531618012666
0,4,0.2,0.0,0.22,0.20279684632734268,-0.02652955892496845,0.21821050919306212,26.73653162772349
0,5,0.2,0.0,0.22,0.20279684634560818,-0.02652955892750753,0.21821050911416368,26.736531637434343
0,6,0.2,0.0,0.22,0.20279684636387346,-0.026529558930046625,0.21821050903526545,26.73653164714517
0,7,0.2,0.0,0.22,0.20279684638213896,-0.026529558932585712,0.21821050895636712,26.736531656856027
0,8,0.2,0.0,0.22,0.20279684640040435,-0.026529558935124813,0.2182105088774688,26.73653166656688
0,9,0.2,0.0,0.22,0.2027968464186698,-0.026529558937663893,0.21821050879857057,26.736531676277714
1,0,0.23,0.0,0.22,0.20279684643693513,-0.026529558940202973,0.21821050871967235,38.039865146708415
1,1,0.23,0.0,0.22,0.20279684645520063,-0.026529558942742067,0.21821050864077396,38.03986513912873
1,2,0.23,0.0,0.22,0.2027968464734658,-0.026529558945281133,0.21821050856187574,38.039865131549256
1,3,0.23,0.0,0.22,0.2027968464917313,-0.026529558947820213,0.21821050848297724,38.03986512396957
1,4,0.23,0.0,0.22,0.2027968465099967,-0.026529558950359307,0.21821050840407913,38.039865116389954
1,5,0.23,0.0,0.22,0.2027968465282622,-0.026529558952898387,0.2182105083251809,38.039865108810254
1,6,0.23,0.0,0.22,0.20279684654652758,-0.02652955895543748,0.21821050824628258,38.03986510123064
1,7,0.23,0.0,0.22,0.20279684656479285,-0.026529558957976547,0.21821050816738424,38.039865093651095
1,8,0.23,0.0,0.22,0.20279684658305835,-0.02652955896051564,0.21821050808848602,38.03986508607141
1,9,0.23,0.0,0.22,0.20279684660132374,-0.02652955896305472,0.2182105080095877,38.039865078491786
2,0,0.17,0.0,0.22,0.20279684661958913,-0.02652955896559383,0.21821050793068936,42.22147473696176
2,1,0.17,0.0,0.22,0.20279684663785452,-0.026529558968132895,0.21821050785179125,42.22147475608934
2,2,0.17,0.0,0.22,0.20279684665612002,-0.02652955897067199,0.21821050777289291,42.221474775217054
2,3,0.17,0.0,0.22,0.2027968466743854,-0.026529558973211083,0.2182105076939948,42.22147479434465
2,4,0.17,0.0,0.22,0.2027968466926509,-0.026529558975750163,0.21821050761509625,42.22147481347236
2,5,0.17,0.0,0.22,0.2027968467109162,-0.026529558978289243,0.21821050753619803,42.22147483259988
2,6,0.17,0.0,0.22,0.20279684672918147,-0.026529558980828316,0.2182105074572998,42.22147485172739
2,7,0.17,0.0,0.22,0.20279684674744697,-0.026529558983367403,0.21821050737840159,42.22147487085508
2,8,0.17,0.0,0.22,0.20279684676571236,-0.026529558985906483,0.21821050729950325,42.22147488998269
2,9,0.17,0.0,0.22,0.20279684678397786,-0.026529558988445605,0.21821050722060503,42.221474909110405
3,0,0.2,0.03,0.22,0.20279684680224314,-0.026529558990984657,0.2182105071417067,56.62698717431746
3,1,0.2,0.03,0.22,0.20279684682050858,-0.02652955899352375,0.21821050706280837,56.62698718024763
3,2,0.2,0.03,0.22,0.20279684683877403,-0.026529558996062852,0.21821050698391015,56.6269871861778
3,3,0.2,0.03,0.22,0.2027968468570393,-0.026529558998601925,0.21821050690501181,56.62698719210795
3,4,0.2,0.03,0.22,0.20279684687530475,-0.026529559001141005,0.2182105068261136,56.62698719803809
3,5,0.2,0.03,0.22,0.2027968468935702,-0.02652955900368012,0.21821050674721526,56.62698720396828
3,6,0.2,0.03,0.22,0.20279684691183558,-0.02652955900621918,0.2182105066683171,56.62698720989841
3,7,0.2,0.03,0.22,0.20279684693010092,-0.02652955900875826,0.21821050658941882,56.62698721582856
3,8,0.2,0.03,0.22,0.20279684694836636,-0.026529559011297353,0.21821050651052037,56.626987221758725
3,9,0.2,0.03,0.22,0.20279684696663164,-0.02652955901383642,0.2182105064316222,56.62698722768885
4,0,0.2,-0.03,0.22,0.20279684698489714,-0.026529559016375513,0.21821050635272393,4.802978366741834
4,1,0.2,-0.03,0.22,0.20279684700316253,-0.026529559018914607,0.2182105062738256,4.8029784049393385
4,2,0.2,-0.03,0.22,0.20279684702142792,-0.026529559021453687,0.21821050619492727,4.802978443136855
4,3,0.2,-0.03,0.22,0.2027968470396932,-0.026529559023992767,0.21821050611602893,4.802978481334307
4,4,0.2,-0.03,0.22,0.2027968470579587,-0.02652955902653186,0.21821050603713082,4.8029785195317976
4,5,0.2,-0.03,0.22,0.2027968470762242,-0.026529559029070955,0.2182105059582325,4.8029785577293715
4,6,0.2,-0.03,0.22,0.20279684709448947,-0.02652955903161002,0.21821050587933422,4.802978595926816
4,7,0.2,-0.03,0.22,0.20279684711275503,-0.026529559034149136,0.21821050580043605,4.802978634124347
4,8,0.2,-0.03,0.22,0.20279684713102042,-0.026529559036688195,0.21821050572153772,4.802978672321885
4,9,0.2,-0.03,0.22,0.20279684714928575,-0.026529559039227296,0.21821050564263955,4.802978710519299
