pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,pos_error_mm,ori_error_deg
0,0,0.2,0.0,0.22,0.2008272242615606,-0.00013838858804691832,0.21970026934801118,0.8906682008232552,21.256434586805963
0,1,0.2,0.0,0.22,0.20079329263966278,-0.00010697541590751688,0.21952880508554068,0.9288603765712243,21.112320466817106
0,2,0.2,0.0,0.22,0.1997559344938717,0.0005922481409835182,0.2204001074509459,0.7552561182026496,21.43001620963692
0,3,0.2,0.0,0.22,0.20080228693286167,-0.00029339622544677217,0.2195496701975433,0.9656824523246175,21.05091116224628
0,4,0.2,0.0,0.22,0.19942300702415486,-0.000649053383483259,0.2208151341883881,1.1910646220356171,21.457407275719262
0,5,0.2,0.0,0.22,0.19998406205976288,-0.00041146608690065446,0.2204612369333859,0.6183024076676142,21.35691029087096
0,6,0.2,0.0,0.22,0.1996944534890562,0.0004795034629170746,0.21970009952128552,0.6428238782377108,21.271731661588785
0,7,0.2,0.0,0.22,0.19961876551012267,-0.0006474875116937828,0.22011936124477138,0.7608067565583372,21.335312208453722
0,8,0.2,0.0,0.22,0.1995725966279904,0.0003470306220259252,0.22023258670261447,0.5976625044805467,21.34067409118759
0,9,0.2,0.0,0.22,0.20053192230075947,-0.00021498351061493035,0.2195866726691739,0.7071058805365681,21.014070093702554
1,0,0.25,0.05,0.2,0.25069326666511127,0.04989845105323585,0.1998173286728329,0.7240854033278172,17.253566500960616
1,1,0.25,0.05,0.2,0.25013590650891704,0.05009641458803066,0.19980593457970988,0.25578846593136784,17.312327805677715
1,2,0.25,0.05,0.2,0.25012998450886437,0.050642617960718936,0.20017824281483962,0.6794294054758135,17.509896627913196
1,3,0.25,0.05,0.2,0.24917896875256912,0.04987726462304207,0.20034099945974676,0.8974613716269298,17.497382321883443
1,4,0.25,0.05,0.2,0.2500731356462218,0.05042005188456315,0.19963603115565484,0.5605940849913527,17.411795649623382
1,5,0.25,0.05,0.2,0.2497172502588932,0.05063113292711548,0.19969090485951801,0.7575064314280782,17.49784745502477
1,6,0.25,0.05,0.2,0.25087419468623495,0.0500331273886563,0.20021108963697443,0.8999292239718648,17.854080664452052
1,7,0.25,0.05,0.2,0.2502053938367615,0.05018071304842242,0.19950479185419873,0.565751660817426,17.7944893686314
1,8,0.25,0.05,0.2,0.24928458057820418,0.049341097004943144,0.19947832723114303,1.1036850020474434,17.939794034568497
