pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,pos_error_mm,ori_error_deg
0,0,0.2,0.0,0.22,0.19983350276543105,-0.0005238874374317617,0.2201092354896131,0.5604567498112061,0.0
0,1,0.2,0.0,0.22,0.20059457853337914,-0.0007706821034655696,0.22057737696662075,1.131741445093166,0.08405681217360098
0,2,0.2,0.0,0.22,0.19930504117402775,-0.0005019386708072489,0.2196283889254595,0.934347360337491,0.25154420598439553
0,3,0.2,0.0,0.22,0.20023791871472305,0.0002942794989369989,0.2207474894586253,0.8378223135402921,0.26626735992775347
0,4,0.2,0.0,0.22,0.20014055024940705,0.0006351008098163023,0.21928377677545105,0.9675138854926066,0.5003023700036943
0,5,0.2,0.0,0.22,0.20026473612484588,0.00047888365672260223,0.22037433107862112,0.6629770198853557,0.32295740333250533
0,6,0.2,0.0,0.22,0.20003326901581664,0.00017089191076004274,0.2207469058219813,0.7669284057108589,0.21917897384218818
0,7,0.2,0.0,0.22,0.20062336788969085,-0.0009460794878740615,0.21976874220090706,1.156345144372978,0.34180156197252387
0,8,0.2,0.0,0.22,0.19974916536189102,-0.00030696619661898725,0.22014472928966672,0.4220104605687235,0.16559294248515685
0,9,0.2,0.0,0.22,0.20116943966557463,0.0007623343855048523,0.2193415917710964,1.5434520538812653,0.8673434211440829
1,0,0.25,0.05,0.2,0.24931949611672236,0.050093210470299646,0.2006657753479319,0.9565722873067446,0.0
1,1,0.25,0.05,0.2,0.2497102635714342,0.0506036845152789,0.20029301768696994,0.7309182970091758,0.15195904465881876
1,2,0.25,0.05,0.2,0.250514607676598,0.04974997968131189,0.199386165137099,0.8391212424216167,0.4465507684509221
1,3,0.25,0.05,0.2,0.24997830545563854,0.04951962197720729,0.1991120941170625,1.0097576714204022,0.3497929429816342
1,4,0.25,0.05,0.2,0.25020220115832215,0.05000930961963662,0.2005917559317852,0.6254175087471874,0.2277160924281833
1,5,0.25,0.05,0.2,0.24949915153582652,0.04981624332014672,0.1994169355662113,0.790303634943554,0.17658307157218184
1,6,0.25,0.05,0.2,0.24998682105758602,0.049891413297867636,0.19985722260401773,0.1798614500292288,0.2606359017485221
1,7,0.25,0.05,0.2,0.2493229370843093,0.05003390201164435,0.19986795436299973,0.690651568048557,0.27885944502751975
1,8,0.25,0.05,0.2,0.25028747949710184,0.05079944909313714,0.2001722096096621,0.8668445439821855,0.44140209262220376
1,9,0.25,0.05,0.2,0.25059345280329187,0.049448993387528666,0.20037779910958015,0.8936032027257188,0.8180842743144721
2,0,0.18,-0.05,0.25,0.18010276713572643,-0.05053492460000688,0.2503794979199743,0.6638705319132426,0.0
2,1,0.18,-0.05,0.25,0.17975680460777477,-0.0505331434729004,0.24922846075050628,0.9688440405995237,0.17802484549861664
2,2,0.18,-0.05,0.25,0.17944815001211886,-0.049660007180326926,0.25007848689126966,0.6529117234778596,0.2552791542724807
2,3,0.18,-0.05,0.25,0.18049207172037046,-0.04915534835561497,0.2504854265974962,1.0914256547779178,0.49093497619547505
2,4,0.18,-0.05,0.25,0.1803894945161753,-0.05011706759712975,0.2511339504379173,1.2046802049013798,0.38182460733604484
2,5,0.18,-0.05,0.25,0.18068860168680584,-0.05080437405175721,0.24941404680411056,1.210178105067685,0.20598929132564642
2,6,0.18,-0.05,0.25,0.180027914524635,-0.050545369154184214,0.24948342253875583,0.751704069755296,0.05919893304178213
2,7,0.18,-0.05,0.25,0.17972959862616633,-0.050107129281213435,0.25003308241405187,0.29272518167034667,0.1326787854113584
2,8,0.18,-0.05,0.25,0.180138370351593,-0.0509186337517347,0.25004174031960297,0.929933641883492,0.1194331583493959
2,9,0.18,-0.05,0.25,0.1802724559007048,-0.05080305294036034,0.24917248493882088,1.184865992139416,0.2118402286156926
3,0,0.22,0.08,0.18,0.22070233124893476,0.07976276446292649,0.18059566896917773,0.9509844394742127,0.0
3,1,0.22,0.08,0.18,0.2195411539324475,0.07991104714365352,0.18017402579440678,0.49873570303268616,0.17424768283072764
3,2,0.22,0.08,0.18,0.2201635575686162,0.08015099435048546,0.1794771299477918,0.5682811483995951,0.3628455310170081
3,3,0.22,0.08,0.18,0.21949125173373357,0.07987586794406146,0.18011956041039412,0.5371482639590666,0.3679328894808259
3,4,0.22,0.08,0.18,0.21919060182268116,0.07980863433478506,0.1792867934634173,1.0956321422331927,0.7237955139230535
3,5,0.22,0.08,0.18,0.22037893051183546,0.0792769725998275,0.1806616155069986,1.05075783761109,0.39007669715778814
3,6,0.22,0.08,0.18,0.22008198210013946,0.07960433182750867,0.18068655981130124,0.7966421668226673,0.3043989846084899
3,7,0.22,0.08,0.18,0.22078397648464457,0.08040282820251293,0.1797963958818916,0.9046238589193533,0.6299022367320359
3,8,0.22,0.08,0.18,0.21950120606847787,0.0801552479929409,0.1800572633933913,0.5255249010828789,0.5505834284054325
3,9,0.22,0.08,0.18,0.21917210710472762,0.08057601621569128,0.1794403113447734,1.1534525207268609,0.8068083984175165
4,0,0.15,-0.02,0.3,0.14929511332583426,-0.019580592996235737,0.2996184989174318,0.9046051814043778,0.0
4,1,0.15,-0.02,0.3,0.14990833660163322,-0.02057409926379087,0.2995764232697752,0.7193117472093046,0.392511598731079
4,2,0.15,-0.02,0.3,0.1502468395648346,-0.019622303658101043,0.2999996361570769,0.451203313189585,0.12227617410010329
4,3,0.15,-0.02,0.3,0.1506048712483735,-0.019391705558834217,0.300971954917984,1.296374836555934,0.8227791689667636
4,4,0.15,-0.02,0.3,0.15013553674556995,-0.019046472543178948,0.300203430357454,0.9843620932589734,0.8241129545678237
4,5,0.15,-0.02,0.3,0.14958202712870922,-0.020855023801712117,0.30005178294663587,0.9531256455429122,0.9054711035785035
4,6,0.15,-0.02,0.3,0.1492179027163773,-0.02105106911098905,0.29990845540895517,1.3133174975134023,0.9009180932335682
4,7,0.15,-0.02,0.3,0.15001270896629937,-0.01944940921423866,0.30049539635026284,0.7407626307012578,0.7832152483102812
4,8,0.15,-0.02,0.3,0.15053361297286366,-0.020308166139175538,0.3002933578170731,0.6824719649778057,0.6248883130520829
4,9,0.15,-0.02,0.3,0.15005631032693909,-0.020208823019619473,0.2996833458907128,0.3834680317463611,0.619994077100735
