pose_id,repetition,timestamp,cmd_x,cmd_y,cmd_z,cmd_qx,cmd_qy,cmd_qz,cmd_qw,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,measurement_system,measurement_quality
0,1,1774245942.1806977,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.20335282396044,-0.012001649980371046,0.23127141373863813,-0.0061944761456711244,-0.19772323488843915,-0.030695035456230178,0.9797576055580648,sim_tf,1.0
0,2,1774245945.2764103,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.216052370845116,0.0030252204983409626,0.2216728638302872,0.0012478899669957934,-0.16834535720286598,0.007306456049143892,0.9857002075574863,sim_tf,1.0
0,3,1774245948.3757434,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.19992896874039726,0.010392290072473316,0.24329617410694904,0.006163096303983069,-0.2230695690705879,0.026921441825291725,0.9744112168733782,sim_tf,1.0
0,4,1774245951.3762455,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.20023925991929087,0.015277420967417943,0.2451993932038548,0.009172476347986777,-0.22640620558607347,0.03942709927096546,0.9731914506369441,sim_tf,1.0
0,5,1774245954.5939527,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.22145064860878144,0.0037970319821911186,0.2378252773918364,0.0017710670797769705,-0.1954018140474592,0.008888432642312328,0.9806813907449882,sim_tf,1.0
1,1,1774245957.6834,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.2268379540680172,0.014046203187636875,0.22024525314438445,0.005177709387348765,-0.1585549502556498,0.032224667952867755,0.9868105643183275,sim_tf,1.0
1,2,1774245960.8766632,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.2269446208052211,-0.002640686412856689,0.21628789231217138,-0.0009284585478525858,-0.1511600426370764,-0.006071777033788802,0.9884902189694819,sim_tf,1.0
1,3,1774245963.9768744,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.21997134150482286,-0.02012058104966675,0.23433570111556032,-0.009181602322650967,-0.19025058060271313,-0.04732216691189552,0.9805513894120399,sim_tf,1.0
1,4,1774245967.1768112,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.22045084787894687,-0.005669385234701933,0.21144049750317376,-0.002057904959169016,-0.15136016061072835,-0.01343841499984491,0.9883851859519979,sim_tf,1.0
1,5,1774245970.076742,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.22086095082774043,-8.58444057217879e-05,0.2192959608994302,-3.411557866952371e-05,-0.16619809109360298,-0.0002026414062938462,0.9860923649889144,sim_tf,1.0
2,1,1774245973.4779418,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.18720405102178816,0.010605623610903933,0.24265159510028717,0.007302475484457306,-0.2414921618168979,0.029329602905800677,0.9699319481418209,sim_tf,1.0
2,2,1774245976.711651,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.19351308114454394,-0.01412861952065185,0.2039157765834416,-0.006455664027667316,-0.16612618124034897,-0.03829052875713277,0.9853396631192514,sim_tf,1.0
2,3,1774245979.8762944,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.1837466915932178,-0.011369520228256375,0.21440625337509336,-0.006562234361731485,-0.19847489356568448,-0.032387294901108137,0.9795487312192592,sim_tf,1.0
2,4,1774245982.8773968,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.1761455579989806,-0.014492299283850539,0.22657798768773602,-0.009978615486284053,-0.22648407835494933,-0.04287023678120412,0.9730198005606102,sim_tf,1.0
2,5,1774245986.3052263,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.16542444392055128,0.01910769827710712,0.23905882880051113,0.016204670961807784,-0.26123399593873714,0.0597538236744826,0.9632879572387367,sim_tf,1.0
3,1,1774245989.3107471,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.1792961423914127,0.021192023789995476,0.21006737807460824,0.012242994998246364,-0.19407142026159963,0.06175781177689753,0.9789649460504946,sim_tf,1.0
3,2,1774245992.2076027,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.18167263683686594,0.02782347178927242,0.21495278762635778,0.01604941034659927,-0.19705120753149058,0.07957658828733997,0.9770265117357129,sim_tf,1.0
3,3,1774245995.1760483,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.18561117451088927,0.01838777336546537,0.22445513596467742,0.01103298834512162,-0.2089214396681241,0.05156857828570344,0.9765094914790978,sim_tf,1.0
3,4,1774245998.2758918,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.20394394626504175,0.008708764265938265,0.1973479158386384,0.0031237791616071683,-0.13776727529476301,0.022451951386636144,0.9902051957753699,sim_tf,1.0
3,5,1774246001.4767783,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.19682826110494833,0.03611580204188696,0.19880752710584867,0.014086272667186489,-0.14554034652436107,0.09530019569999935,0.9846509316277807,sim_tf,1.0
4,1,1774246004.877807,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.19863199715570803,-0.006499128979113683,0.20372770118876404,-0.002737403603530693,-0.1572669995410606,-0.01718706150825858,0.987402755917551,sim_tf,1.0
4,2,1774246008.0091522,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.19464985615172742,-0.007486507831545176,0.2249217427002057,-0.004076857127305309,-0.1990132431889119,-0.020071382167259996,0.9797827554561727,sim_tf,1.0
4,3,1774246011.1801887,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.19114276057818838,-0.03360533155788871,0.21099050586594673,-0.016219443312607763,-0.17443326368806816,-0.09115271498953817,0.980306660554642,sim_tf,1.0
4,4,1774246014.3773818,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.1756655755651692,-0.03392045743217567,0.21274013097030464,-0.02062193449797144,-0.20111580903792028,-0.09989664655701642,0.9742421809690066,sim_tf,1.0
4,5,1774246017.8786533,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.19354273858664414,-0.040770296670636634,0.19892588531097374,-0.016488181622402735,-0.14866678088779825,-0.10899123630516112,0.9827243960215492,sim_tf,1.0
