pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,pos_error_mm,ori_error_deg
0,1,0.2,0.0,0.22,0.19985844076318146,0.0002865229601892037,0.22001763825351778,0.3200711362047377,0.0
0,2,0.2,0.0,0.22,0.20055736853488662,-5.3549572522388e-05,0.22003301471607775,0.5609074895886762,0.22950062362202117
0,3,0.2,0.0,0.22,0.19946412532483995,0.0006358229664249566,0.22013509291934433,0.8424266193374366,0.295627231994703
0,4,0.2,0.0,0.22,0.2003149658965564,0.0005811895680604998,0.21952969325812438,0.8112787815970408,0.5739546595821458
0,5,0.2,0.0,0.22,0.20075892534852757,0.00012738683281283573,0.21957908576728502,0.8771339014733195,0.8144843382813686
1,1,0.225,0.0,0.22,0.2248589142141962,-0.00028255503107003503,0.21991478111629287,0.3271158857028393,0.0
1,2,0.225,0.0,0.22,0.22508299573418505,-4.633407969289791e-05,0.2199523106076306,0.1063457426438221,0.06528044644402667
1,3,0.225,0.0,0.22,0.22551083368046632,-0.00038581466621232733,0.2194285977701481,0.8580818807334331,0.2620567307377579
1,4,0.225,0.0,0.22,0.2251276349859916,-3.596051099310932e-05,0.22001590290449408,0.13355429746475558,0.11587754992435766
1,5,0.225,0.0,0.22,0.2250014658784881,0.000263391266353821,0.22018158523993941,0.319922345820147,0.14747155421015945
2,1,0.17500000000000002,0.0,0.22,0.17477905299322233,0.00043335172641801147,0.2197422798908836,0.5504824731419339,0.0
2,2,0.17500000000000002,0.0,0.22,0.174346625400779,0.00020464081600441524,0.2201823409249998,0.7085368327842686,0.9016359965003852
2,3,0.17500000000000002,0.0,0.22,0.17486668345254164,-9.004693546684054e-06,0.21964164345363751,0.382457580200656,0.4498585478599544
2,4,0.17500000000000002,0.0,0.22,0.17465478788737862,-0.00048587731080989996,0.21987797222157107,0.6083904523977075,0.3338606007286073
2,5,0.17500000000000002,0.0,0.22,0.1754867252867217,-8.555589592584387e-05,0.21989245374601069,0.5057543996932946,0.3497683696899484
3,1,0.2,0.025,0.22,0.20013352669262313,0.0252479572222916,0.22015146349465026,0.3197707803116202,0.0
3,2,0.2,0.025,0.22,0.2005704188100549,0.025019053910017373,0.21935544671718427,0.860923692750955,0.3231369455812799
3,3,0.2,0.025,0.22,0.1998115491078285,0.02511722444791447,0.2204687003719311,0.5185897690828735,0.049015421419499994
3,4,0.2,0.025,0.22,0.19988641317520817,0.02514242723339296,0.21969671835251128,0.3537898264248654,0.10038924009816225
3,5,0.2,0.025,0.22,0.19959468092299407,0.02485358707099499,0.22046851194449985,0.6365718671947435,0.09952118622414281
4,1,0.2,-0.025,0.22,0.1995589021343196,-0.024665052636439803,0.22020677417568976,0.5911959262342116,0.0
4,2,0.2,-0.025,0.22,0.19974211061711017,-0.024552747407561616,0.2202821080536152,0.5883253939485493,0.07949678816245885
4,3,0.2,-0.025,0.22,0.20014972308332118,-0.0252577714049097,0.2194745634900265,0.6041081235022829,0.3209930948063998
4,4,0.2,-0.025,0.22,0.20042268709450228,-0.024684764413422787,0.21973969546795646,0.5880444747685823,0.35202084249380833
4,5,0.2,-0.025,0.22,0.19985509224965808,-0.024733840409106225,0.2197116192656304,0.418333158964777,0.255615389308414
