pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,pos_error_mm,ori_error_deg
0,1,0.2,0.0,0.22,0.2006184663669705,0.0004448672681257525,0.21965691254243175,0.02916487426764192,-0.18508063076393366,0.006612550032632042,0.9822682140877016,0.8355336838596032,0.0
0,2,0.2,0.0,0.22,0.2002259473170452,-0.0002228617508458029,0.22038146282434234,0.028817063314949688,-0.18845815293909637,0.004972410500960461,0.981645749028893,0.49621914153448204,0.4379461922924921
0,3,0.2,0.0,0.22,0.2000575394871667,0.00021686798773453436,0.22012326626110226,0.029037874269630677,-0.18831643608327298,0.006116083592223289,0.9816599794635048,0.25600212462704863,0.3818324805096522
0,4,0.2,0.0,0.22,0.19929290801738136,0.00034706640336655293,0.2202201257057586,0.029108069618127123,-0.1875195496818207,0.006437664745076154,0.9818083801042153,0.8178566418175541,0.285183090185777
0,5,0.2,0.0,0.22,0.20038985382095148,-9.80332855762318e-05,0.21948443199349202,0.028903899380694868,-0.18433065437219234,0.005176492845958,0.9824255586970067,0.653763639342191,0.1889055201940391
1,1,0.225,0.0,0.22,0.22483400973075027,-0.0005722810293805711,0.2198824957427743,0.02885329092809175,-0.1614380160732875,0.0034298562046001973,0.9864550119774118,0.6073430633016657,0.0
1,2,0.225,0.0,0.22,0.2253115894750218,-0.00018588254386246717,0.21965143874498266,0.029006957698161782,-0.1601145888547176,0.004288451496940788,0.9866628218518928,0.503125500801147,0.18318328793850258
1,3,0.225,0.0,0.22,0.22474597845288788,-0.00020305261519144518,0.22054935452137442,0.028988561567642224,-0.16225353085716465,0.004310278837233953,0.9863137819776056,0.6383946280223848,0.13933375232755582
1,4,0.225,0.0,0.22,0.2254016226416121,-0.00022343905043705983,0.2204920650497582,0.0289082217282972,-0.1753648377437244,0.004652653767359213,0.9840680063961768,0.6733155045810522,1.6252451805686157
1,5,0.225,0.0,0.22,0.2246802879537922,-9.648599758355895e-05,0.22040542710269814,0.02895980484766713,-0.1754242014235581,0.0049461730213938545,0.9840544774709044,0.5252584847694438,1.6354506578224062
2,1,0.17500000000000002,0.0,0.22,0.17463813434738382,-0.00032898579336842896,0.2203031596706439,0.028386293001994946,-0.2358503351873885,0.005966542124105695,0.9713563908971221,0.5753991559661172,0.0
2,2,0.17500000000000002,0.0,0.22,0.17534028765698975,-0.00033025997767335933,0.22044688201265267,0.028399341046191337,-0.23433897359421324,0.005923294097187774,0.9717219959792981,0.651591033996685,0.17825976042518682
2,3,0.17500000000000002,0.0,0.22,0.17523658771469755,0.00043849121323250403,0.22040116941606303,0.028951595226715317,-0.2341208592350337,0.008205140955960649,0.9717416858747858,0.6396758485453885,0.33350743961732104
2,4,0.17500000000000002,0.0,0.22,0.17513484812433444,0.00013921294295959603,0.21964873822895137,0.028742683869531785,-0.23328568324408536,0.007289828824430715,0.971956020873901,0.4011846107768923,0.34022510445604776
2,5,0.17500000000000002,0.0,0.22,0.17533027518844352,7.308868286418499e-05,0.22004793900702682,0.028708247786934368,-0.23140784183406232,0.0070371048927689904,0.972407695568805,0.34164572887558475,0.5385899444811169
3,1,0.2,0.025,0.22,0.199653090458296,0.02540263347325326,0.22010496338760954,0.04179280294392608,-0.19030775446598264,0.0716020901556922,0.9782174916129549,0.5417354120304003,0.0
3,2,0.2,0.025,0.22,0.20052227992892982,0.024744516672751,0.21998956744310066,0.04131858895649266,-0.18889287204340627,0.0695993171840365,0.9786563197289198,0.5815125904987828,0.29058495090698894
3,3,0.2,0.025,0.22,0.20027668936653856,0.025040448186177882,0.2205157799956962,0.04178341203124965,-0.19388203943974597,0.07051930865243713,0.9775944600747766,0.586704410483627,0.4338800594978
3,4,0.2,0.025,0.22,0.2002142049048301,0.025319201698160543,0.22043057168508282,0.04211992326880507,-0.19698628752194353,0.07130135876861743,0.9769024674090557,0.5772048521598706,0.7816599261659253
3,5,0.2,0.025,0.22,0.19970844322391662,0.02565789413330962,0.22023337868523646,0.04232398588579823,-0.19684602804316753,0.07233993602679328,0.9768455635964196,0.7565022505227945,0.7726050819434253
4,1,0.2,-0.025,0.22,0.20019555608854897,-0.024853765314203274,0.22047549873997646,0.015673101196718955,-0.20153263805266816,-0.05836606512388519,0.9776156464277584,0.5345332719465056,0.0
4,2,0.2,-0.025,0.22,0.20017399192095847,-0.02519650032687153,0.21958860433548072,0.015605527225704616,-0.19997557844667643,-0.05931551220640031,0.9778792898699804,0.48798766357838824,0.21129513451412849
4,3,0.2,-0.025,0.22,0.19965308538459312,-0.025223231871611972,0.21982677426005467,0.01559717625145203,-0.19939776466827475,-0.05958798505233205,0.9779808441762444,0.44742527405803056,0.2850984069367304
4,4,0.2,-0.025,0.22,0.199958069479854,-0.025133796915804835,0.21958316614322934,0.015705147994990773,-0.19884349605797363,-0.05927783994614497,0.978110806653938,0.43978431912575405,0.33031470371079535
4,5,0.2,-0.025,0.22,0.199568602558575,-0.02466529662714532,0.22000518471688904,0.015925173405054678,-0.19878487956829458,-0.058212021125708356,0.978183173594546,0.546037527609194,0.3232932117273107
