pose_id,repetition,timestamp,cmd_x,cmd_y,cmd_z,cmd_qx,cmd_qy,cmd_qz,cmd_qw,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,measurement_system,measurement_quality
0,1,1774246522.0680003,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.20148816001507922,-0.018286936599599613,0.23379680588641238,-0.009930070913901664,-0.20626847790687133,-0.04704948427731361,0.9773131815047141,sim_tf,1.0
0,2,1774246524.0667686,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.2147875915610578,-0.00558402224999321,0.21356756812731736,-0.0021609156227909918,-0.156982855425714,-0.013593545585735767,0.9875054071064467,sim_tf,1.0
0,3,1774246526.171638,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.2082338657009167,0.0044162192212946205,0.2223924577166035,0.002033394552265985,-0.18072641193978092,0.011065031983523401,0.983469061232315,sim_tf,1.0
0,4,1774246528.3671794,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.21730695396369085,-0.0018766542256060037,0.22853734730300496,-0.000838869638559988,-0.1835579267322877,-0.0044925568751591075,0.9829982709873895,sim_tf,1.0
0,5,1774246530.4652846,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.2122461424804226,0.02263963454879014,0.2322064487408307,0.010895296938730205,-0.19334968911180445,0.05519572129703955,0.9795155039995462,sim_tf,1.0
1,1,1774246532.770188,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.21947533918629045,-0.01482232881983272,0.20186524891412247,-0.0046815360394486015,-0.1312275884353883,-0.0353438440018807,0.9907109648857806,sim_tf,1.0
1,2,1774246534.7606714,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.22089328192736946,-0.004280467448427251,0.2025077925695291,-0.0013549649833596961,-0.13226640077959337,-0.010153955286212744,0.9911612686575033,sim_tf,1.0
1,3,1774246536.96512,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.2183075861798817,-0.019713733398840978,0.23433655144166574,-0.009262629826577936,-0.1943123632272203,-0.04670525112185181,0.9797834090774314,sim_tf,1.0
1,4,1774246539.0615244,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.23418619862856904,-0.01903148622991786,0.204389751877547,-0.005390930710561388,-0.1261059862455042,-0.04236891033677386,0.9910969143005124,sim_tf,1.0
1,5,1774246541.261139,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.23604852169363955,0.004834526427278637,0.19814942636656258,0.0012339541338186207,-0.11438098196163454,0.010716333202631441,0.9933783914125464,sim_tf,1.0
2,1,1774246543.975195,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.16277340520314906,0.02082050433829506,0.2335901727013208,0.017988748798563253,-0.2617696474562125,0.06615585818148177,0.9626922971622781,sim_tf,1.0
2,2,1774246546.0614955,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.15823284819004943,0.01355458505123076,0.22568623546712918,0.012051488384812842,-0.26059006833425197,0.04459779184976743,0.9643436186730254,sim_tf,1.0
2,3,1774246548.366579,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.16052735094509765,-0.0032534585773237893,0.23679934390969448,-0.002969726615161123,-0.27118476955324733,-0.010540016093207538,0.9624650173107272,sim_tf,1.0
2,4,1774246550.5987222,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.16984026539717378,0.014828255231225655,0.21722520969351364,0.010563444264820532,-0.22538072467780515,0.0456105094123449,0.9731452224720203,sim_tf,1.0
2,5,1774246552.5606756,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.179640980135834,0.015768054184767132,0.19804189414985804,0.008329696373929638,-0.17750745391678194,0.04612806402117062,0.983002503390484,sim_tf,1.0
3,1,1774246554.8724258,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.19894106680299134,0.00151231202121665,0.23241667009870692,0.0008444539624164854,-0.20876439195602572,0.003955674272598108,0.9779576004049385,sim_tf,1.0
3,2,1774246557.0608912,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.20454059060778484,0.02070329997536072,0.23739159757212772,0.011262834648956287,-0.2100916804421044,0.05233387797438423,0.9762150375715615,sim_tf,1.0
3,3,1774246559.1613233,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.21031220510755574,0.035095228255882835,0.2181910494988483,0.014686288583363835,-0.16726433345208971,0.08622435474124782,0.9820246006755278,sim_tf,1.0
3,4,1774246561.2126076,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.21602975705464098,0.0319665317211341,0.1967803760672496,0.009500888973340093,-0.12202010998778486,0.07704442999021267,0.9894872316885996,sim_tf,1.0
3,5,1774246563.2623413,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.21205457795884175,0.019821742707347986,0.22508357066584952,0.008927219905564929,-0.18063960307451832,0.048545613773593684,0.9823100131471648,sim_tf,1.0
4,1,1774246565.5617023,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.22454038238738155,-0.021810409345110728,0.2064948444645386,-0.006894049700345921,-0.13471729757884707,-0.050640489137254906,0.9895651886923474,sim_tf,1.0
4,2,1774246567.6611278,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.21183423151106393,-0.014761258071400146,0.23466774166732238,-0.007312264686735246,-0.19825399009527692,-0.036125822104943625,0.9794574065132668,sim_tf,1.0
4,3,1774246569.561309,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.21152922615479253,-0.011529264077538485,0.23686099557283194,-0.005854234613587164,-0.20280095110076854,-0.02825494897778326,0.978794748672047,sim_tf,1.0
4,4,1774246571.565968,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.22071010183682704,-0.006978054572483707,0.2134279329919779,-0.0025338906885016732,-0.15161948716700205,-0.016516848900068302,0.9882976799586278,sim_tf,1.0
